attribute_a,attribute_b,value
Attractive,Wavy_Hair,0.23041418194770813
Male,Pointy_Nose,-0.22988198697566986
Oval_Face,Smiling,0.22953413426876068
Smiling,Wearing_Lipstick,0.22903086245059967
Goatee,Wearing_Lipstick,-0.22759079933166504
Heavy_Makeup,Smiling,0.22685782611370087
Arched_Eyebrows,Wearing_Necklace,0.22663311660289764
5_o_Clock_Shadow,Bushy_Eyebrows,0.2260042130947113
Rosy_Cheeks,Wearing_Earrings,0.22466793656349182
Rosy_Cheeks,Smiling,0.22334876656532288
Big_Nose,Gray_Hair,0.22316119074821472
Arched_Eyebrows,Wavy_Hair,0.2199442833662033
Eyeglasses,Young,-0.21857909858226776
Big_Nose,Wearing_Necktie,0.21654607355594635
Eyeglasses,Wearing_Lipstick,-0.21647512912750244
Big_Nose,Receding_Hairline,0.2161029577255249
Receding_Hairline,Young,-0.21544577181339264
Chubby,Wearing_Necktie,0.21454206109046936
Double_Chin,Male,0.21361638605594635
Big_Lips,Wearing_Lipstick,0.2134675830602646
Sideburns,Wearing_Lipstick,-0.21042360365390778
Male,Rosy_Cheeks,-0.21041235327720642
Big_Nose,Mustache,0.21026258170604706
Attractive,Oval_Face,0.20992988348007202
Bald,Young,-0.20989912748336792
High_Cheekbones,No_Beard,0.20686496794223785
Eyeglasses,Male,0.20673027634620667
Bags_Under_Eyes,Double_Chin,0.20609544217586517
Attractive,Gray_Hair,-0.20491890609264374
Double_Chin,Receding_Hairline,0.20408543944358826
Heavy_Makeup,Wearing_Necktie,-0.2028001993894577
Attractive,Double_Chin,-0.20269159972667694
Gray_Hair,Male,0.20223654806613922
Heavy_Makeup,Wearing_Necklace,0.201662078499794
Bushy_Eyebrows,No_Beard,-0.20149113237857819
Arched_Eyebrows,No_Beard,0.20119349658489227
Chubby,Wearing_Lipstick,-0.19952581822872162
Bags_Under_Eyes,Wearing_Necktie,0.1990474909543991
Attractive,No_Beard,0.1976962387561798
Chubby,Receding_Hairline,0.197072371840477
Eyeglasses,Heavy_Makeup,-0.19659209251403809
Smiling,Wearing_Earrings,0.19512850046157837
Bald,Big_Nose,0.19235514104366302
Big_Nose,Goatee,0.19168205559253693
Bags_Under_Eyes,Gray_Hair,0.19113114476203918
Pointy_Nose,Rosy_Cheeks,0.18885153532028198
Mustache,Wearing_Lipstick,-0.18727843463420868
Goatee,Heavy_Makeup,-0.18684425950050354
Attractive,Smiling,0.18553435802459717
Attractive,Blond_Hair,0.18522478640079498
Attractive,Bags_Under_Eyes,-0.18431518971920013
Attractive,Receding_Hairline,-0.18328039348125458
Attractive,High_Cheekbones,0.18240530788898468
Wearing_Earrings,Wearing_Necklace,0.1810256838798523
Big_Lips,Male,-0.1795777976512909
Blond_Hair,No_Beard,0.1792784035205841
No_Beard,Wearing_Earrings,0.17919279634952545
Male,Smiling,-0.1789572536945343
Attractive,Blurry,-0.17797289788722992
Attractive,Rosy_Cheeks,0.1779174655675888
Arched_Eyebrows,High_Cheekbones,0.17661091685295105
Bald,Wearing_Necktie,0.17654737830162048
Oval_Face,Wearing_Lipstick,0.1757039576768875
Eyeglasses,Gray_Hair,0.17471301555633545
Big_Nose,Blond_Hair,-0.1743611842393875
Chubby,Eyeglasses,0.17395812273025513
Bushy_Eyebrows,Wearing_Lipstick,-0.17353807389736176
Double_Chin,Wearing_Lipstick,-0.1730370670557022
Receding_Hairline,Wearing_Necktie,0.1730363667011261
Heavy_Makeup,Sideburns,-0.17275093495845795
Wearing_Hat,Wearing_Lipstick,-0.1726379692554474
Bags_Under_Eyes,Chubby,0.17156419157981873
Chubby,Mustache,0.1710626780986786
Blond_Hair,Brown_Hair,-0.17087504267692566
Bald,Male,0.17045123875141144
5_o_Clock_Shadow,High_Cheekbones,-0.17018942534923553
Bald,Gray_Hair,0.17007765173912048
Bangs,Wearing_Lipstick,0.17006328701972961
Gray_Hair,Wearing_Lipstick,-0.1696217805147171
Arched_Eyebrows,Pointy_Nose,0.16948500275611877
Big_Nose,Pointy_Nose,-0.16873693466186523
Blond_Hair,Wearing_Necklace,0.16696415841579437
Bangs,Male,-0.1668226718902588
Attractive,Wearing_Necktie,-0.16671445965766907
Chubby,Heavy_Makeup,-0.1654319018125534
Blond_Hair,Wavy_Hair,0.1647738665342331
Brown_Hair,Wavy_Hair,0.1633504182100296
Arched_Eyebrows,Blond_Hair,0.16210132837295532
No_Beard,Wavy_Hair,0.1614275723695755
Blond_Hair,Rosy_Cheeks,0.16080433130264282
Big_Lips,Wearing_Necklace,0.1581999659538269
Attractive,Wearing_Hat,-0.15612386167049408
5_o_Clock_Shadow,Arched_Eyebrows,-0.15563726425170898
Big_Lips,Heavy_Makeup,0.15514911711215973
Heavy_Makeup,Mustache,-0.15374942123889923
Double_Chin,Eyeglasses,0.1531655639410019
Big_Nose,Eyeglasses,0.1520421952009201
Attractive,Wearing_Earrings,0.15193596482276917
5_o_Clock_Shadow,Wearing_Earrings,-0.15122613310813904
Big_Nose,Wavy_Hair,-0.15096507966518402
Arched_Eyebrows,Young,0.1509428769350052
Blond_Hair,Bushy_Eyebrows,-0.15062551200389862
Arched_Eyebrows,Eyeglasses,-0.1503693163394928
Heavy_Makeup,Wearing_Hat,-0.1503625214099884
No_Beard,Smiling,0.1485721319913864
Mouth_Slightly_Open,Rosy_Cheeks,0.14844676852226257
5_o_Clock_Shadow,Bags_Under_Eyes,0.14796477556228638
Mouth_Slightly_Open,Wearing_Earrings,0.14675834774971008
High_Cheekbones,Sideburns,-0.14674027264118195
Chubby,No_Beard,-0.14645127952098846
Attractive,Goatee,-0.14630728960037231
Pointy_Nose,Wavy_Hair,0.1462557017803192
Gray_Hair,Heavy_Makeup,-0.146121084690094
Attractive,Bald,-0.1457381397485733
Bald,Receding_Hairline,0.14498034119606018
Double_Chin,Heavy_Makeup,-0.14483417570590973
Chubby,Goatee,0.1444283276796341
Wavy_Hair,Wearing_Necktie,-0.14335060119628906
Blond_Hair,Pointy_Nose,0.14321941137313843
Rosy_Cheeks,Wearing_Necklace,0.14125482738018036
Blurry,Heavy_Makeup,-0.1402442455291748
Male,Wearing_Hat,0.1402067095041275
Attractive,Mustache,-0.14001931250095367
5_o_Clock_Shadow,Big_Nose,0.1391000747680664
5_o_Clock_Shadow,Blond_Hair,-0.13889838755130768
Male,Oval_Face,-0.13860008120536804
Big_Lips,Wavy_Hair,0.13839921355247498
Bags_Under_Eyes,Oval_Face,-0.1375427395105362
Rosy_Cheeks,Wavy_Hair,0.13746236264705658
Eyeglasses,Wearing_Necktie,0.13715077936649323
High_Cheekbones,Wearing_Necklace,0.13640931248664856
Bald,Wearing_Lipstick,-0.13593144714832306
Bushy_Eyebrows,Sideburns,0.13544340431690216
Big_Nose,Bushy_Eyebrows,0.13528575003147125
Big_Nose,Brown_Hair,-0.13516567647457123
Bags_Under_Eyes,Wavy_Hair,-0.13483427464962006
Wavy_Hair,Wearing_Necklace,0.13402527570724487
Bangs,No_Beard,0.13394823670387268
5_o_Clock_Shadow,Goatee,0.13336314260959625
Black_Hair,Young,0.13311922550201416
High_Cheekbones,Wavy_Hair,0.13298699259757996
No_Beard,Wearing_Hat,-0.13216914236545563
Receding_Hairline,Wearing_Lipstick,-0.1319858431816101
Arched_Eyebrows,Wearing_Necktie,-0.1312030702829361
Black_Hair,Straight_Hair,0.1307375580072403
Attractive,Brown_Hair,0.13068078458309174
Mouth_Slightly_Open,Wearing_Lipstick,0.13049782812595367
Blurry,Wearing_Lipstick,-0.1304582953453064
Heavy_Makeup,Mouth_Slightly_Open,0.1302669793367386
Blond_Hair,High_Cheekbones,0.12906448543071747
No_Beard,Wearing_Necklace,0.12877608835697174
Male,Receding_Hairline,0.1286013424396515
Mustache,Young,-0.12859906256198883
Big_Lips,Wearing_Earrings,0.12823201715946198
Bags_Under_Eyes,Bald,0.12803640961647034
Wavy_Hair,Wearing_Hat,-0.12720884382724762
Wavy_Hair,Wearing_Earrings,0.12716764211654663
Bags_Under_Eyes,Receding_Hairline,0.1268954575061798
Bushy_Eyebrows,Heavy_Makeup,-0.1266935020685196
Oval_Face,Rosy_Cheeks,0.1260250359773636
5_o_Clock_Shadow,Wavy_Hair,-0.12575361132621765
Male,Mouth_Slightly_Open,-0.12498670816421509
Bangs,Heavy_Makeup,0.12338438630104065
Bags_Under_Eyes,No_Beard,-0.12212669849395752
Goatee,High_Cheekbones,-0.12151424586772919
Chubby,Pointy_Nose,-0.12141900509595871
Black_Hair,Wavy_Hair,-0.12119101732969284
Big_Lips,Oval_Face,-0.12088369578123093
Bags_Under_Eyes,Pointy_Nose,-0.12069554626941681
Big_Nose,Sideburns,0.12040077149868011
Bags_Under_Eyes,Blond_Hair,-0.12015362083911896
Pointy_Nose,Wearing_Earrings,0.12009396404027939
Arched_Eyebrows,Smiling,0.11988165974617004
Wearing_Earrings,Wearing_Necktie,-0.11958093196153641
Big_Nose,Oval_Face,-0.11782423406839371
Black_Hair,Gray_Hair,-0.11724413931369781
Receding_Hairline,Wavy_Hair,-0.11688849329948425
Oval_Face,Young,0.11607691645622253
Arched_Eyebrows,Goatee,-0.11559882760047913
Blond_Hair,Wearing_Earrings,0.11362381279468536
Black_Hair,Male,0.11349036544561386
Big_Lips,Narrow_Eyes,0.11331260949373245
Bald,Goatee,0.11258609592914581
Big_Lips,Young,0.11242154240608215
Heavy_Makeup,Receding_Hairline,-0.11233828961849213
Blond_Hair,Wearing_Necktie,-0.11181839555501938
Bald,Heavy_Makeup,-0.11168114095926285
Bushy_Eyebrows,Mustache,0.11154959350824356
Arched_Eyebrows,Sideburns,-0.11141931265592575
Bushy_Eyebrows,Goatee,0.11059270799160004
Mouth_Slightly_Open,Narrow_Eyes,0.11007620394229889
Bangs,Receding_Hairline,-0.10994555056095123
Bangs,Wearing_Necklace,0.10978055745363235
Arched_Eyebrows,Wearing_Hat,-0.10942583531141281
Straight_Hair,Wearing_Hat,-0.10934923589229584
5_o_Clock_Shadow,Black_Hair,0.1091890037059784
Smiling,Wearing_Necklace,0.10918575525283813
Black_Hair,Wearing_Hat,-0.10885264724493027
Mouth_Slightly_Open,Oval_Face,0.10874245315790176
No_Beard,Young,0.10871419310569763
Mouth_Slightly_Open,No_Beard,0.10805130004882812
Chubby,Wavy_Hair,-0.1076391339302063
Sideburns,Smiling,-0.10716554522514343
Blond_Hair,Goatee,-0.10693182051181793
5_o_Clock_Shadow,Wearing_Necklace,-0.10656855255365372
Eyeglasses,High_Cheekbones,-0.10561522841453552
Bald,Eyeglasses,0.10518375039100647
Bags_Under_Eyes,Bushy_Eyebrows,0.10487641394138336
Arched_Eyebrows,Bags_Under_Eyes,-0.10469343513250351
Goatee,Wavy_Hair,-0.104463592171669
Arched_Eyebrows,Big_Nose,-0.1040036529302597
Arched_Eyebrows,Gray_Hair,-0.1037832647562027
Bangs,Blond_Hair,0.10370535403490067
No_Beard,Rosy_Cheeks,0.10364904254674911
Arched_Eyebrows,Chubby,-0.10358875244855881
Eyeglasses,Pointy_Nose,-0.10316838324069977
Double_Chin,Mustache,0.10305333882570267
Bags_Under_Eyes,Mustache,0.10299878567457199
Goatee,Smiling,-0.10244450718164444
Brown_Hair,Male,-0.10230022668838501
High_Cheekbones,Mustache,-0.10204289108514786
Brown_Hair,Young,0.10194937139749527
Eyeglasses,No_Beard,-0.10192707926034927
Sideburns,Wearing_Earrings,-0.10161042958498001
Goatee,Young,-0.1012028381228447
Goatee,Wearing_Hat,0.10072803497314453
Bags_Under_Eyes,Wearing_Earrings,-0.10044180601835251
Brown_Hair,Receding_Hairline,-0.10004621744155884
Blond_Hair,Sideburns,-0.09999530762434006
No_Beard,Pointy_Nose,0.09991233795881271
Brown_Hair,Wearing_Hat,-0.09971033781766891
Bags_Under_Eyes,Narrow_Eyes,0.09967098385095596
Goatee,Wearing_Earrings,-0.09930962324142456
Smiling,Wavy_Hair,0.09925226122140884
Brown_Hair,Gray_Hair,-0.09916257858276367
Chubby,Sideburns,0.09817388653755188
Eyeglasses,Wavy_Hair,-0.09814746677875519
Mustache,Smiling,-0.09777051210403442
High_Cheekbones,Wearing_Hat,-0.0977000743150711
Attractive,Sideburns,-0.0975697711110115
Bags_Under_Eyes,Smiling,0.09734989702701569
Black_Hair,No_Beard,-0.09732126444578171
Bald,Wavy_Hair,-0.09685486555099487
Bald,No_Beard,-0.09665844589471817
Blond_Hair,Eyeglasses,-0.09660795331001282
Eyeglasses,Receding_Hairline,0.09625294059515
Mouth_Slightly_Open,Wearing_Necklace,0.09622043371200562
Blond_Hair,Chubby,-0.09512584656476974
5_o_Clock_Shadow,Bangs,-0.0950174629688263
Double_Chin,Pointy_Nose,-0.09467047452926636
Gray_Hair,Wavy_Hair,-0.0938945859670639
Bangs,Wearing_Necktie,-0.09384521096944809
Bags_Under_Eyes,Rosy_Cheeks,-0.0935584306716919
Mouth_Slightly_Open,Sideburns,-0.09311766177415848
Double_Chin,Wavy_Hair,-0.09303941577672958
Brown_Hair,Chubby,-0.09270494431257248
Blond_Hair,Wearing_Hat,-0.09262856841087341
Wavy_Hair,Young,0.0919770821928978
Pointy_Nose,Young,0.0919017642736435
5_o_Clock_Shadow,Mustache,0.0918649286031723
Eyeglasses,Wearing_Earrings,-0.09151708334684372
Wearing_Necklace,Wearing_Necktie,-0.09108135104179382
Narrow_Eyes,Oval_Face,-0.09086417406797409
Blond_Hair,Mustache,-0.08995763957500458
Arched_Eyebrows,Mustache,-0.08994124829769135
Brown_Hair,Wearing_Lipstick,0.08993586152791977
Blurry,High_Cheekbones,-0.08911077678203583
Blond_Hair,Smiling,0.08890232443809509
5_o_Clock_Shadow,Smiling,-0.08881624788045883
Arched_Eyebrows,Double_Chin,-0.0887807235121727
Attractive,Wearing_Necklace,0.0882941260933876
Mustache,Wearing_Hat,0.08819910138845444
Bags_Under_Eyes,Sideburns,0.08730527758598328
Big_Lips,Gray_Hair,-0.08717797696590424
Bushy_Eyebrows,Straight_Hair,0.08716490864753723
5_o_Clock_Shadow,Oval_Face,-0.0860598012804985
Attractive,Pale_Skin,0.0855267122387886
Bangs,Chubby,-0.08551343530416489
Bushy_Eyebrows,Young,0.08505860716104507
5_o_Clock_Shadow,Mouth_Slightly_Open,-0.08490266650915146
Oval_Face,Wearing_Earrings,0.08490252494812012
Bangs,Big_Nose,-0.08489754796028137
Blurry,Oval_Face,-0.08485367149114609
Bangs,Wearing_Hat,-0.08458782732486725
Bangs,Goatee,-0.08444967120885849
Arched_Eyebrows,Mouth_Slightly_Open,0.08443502336740494
Attractive,Big_Lips,0.08413350582122803
Pointy_Nose,Wearing_Hat,-0.0840836688876152
5_o_Clock_Shadow,Rosy_Cheeks,-0.0834803655743599
Mustache,Wavy_Hair,-0.08319936692714691
Big_Lips,Rosy_Cheeks,0.08297615498304367
Blond_Hair,Double_Chin,-0.08197508007287979
Eyeglasses,Wearing_Hat,0.08138544112443924
Bald,Black_Hair,-0.08110485225915909
Double_Chin,Smiling,0.08109261840581894
Arched_Eyebrows,Blurry,-0.08033282309770584
High_Cheekbones,Pale_Skin,-0.08031775057315826
Mustache,Wearing_Earrings,-0.08018427342176437
Sideburns,Young,-0.08010461181402206
Eyeglasses,Mustache,0.08006781339645386
Bags_Under_Eyes,Goatee,0.08006756752729416
Straight_Hair,Wearing_Necktie,0.07997819036245346
Bangs,Bushy_Eyebrows,-0.07925889641046524
Eyeglasses,Goatee,0.07855501770973206
Bushy_Eyebrows,Wearing_Earrings,-0.07841505110263824
Bushy_Eyebrows,Wavy_Hair,-0.07841259241104126
Brown_Hair,Double_Chin,-0.07833799719810486
Straight_Hair,Wearing_Earrings,-0.07831732928752899
Bushy_Eyebrows,Wearing_Necklace,-0.07829927653074265
Chubby,Wearing_Earrings,-0.07729238271713257
Goatee,Pointy_Nose,-0.07700709253549576
Blond_Hair,Young,0.07697827368974686
Mouth_Slightly_Open,Mustache,-0.0767274871468544
Big_Lips,Wearing_Necktie,-0.07667934149503708
Big_Nose,Wearing_Earrings,-0.07667193561792374
Sideburns,Wearing_Hat,0.07644578069448471
Mustache,Wearing_Necktie,0.07617326080799103
Blond_Hair,Receding_Hairline,-0.0757531151175499
Smiling,Wearing_Hat,-0.07561347633600235
Blond_Hair,Mouth_Slightly_Open,0.07532213628292084
Brown_Hair,Wearing_Necktie,-0.0750725269317627
Male,Pale_Skin,-0.07471538335084915
Brown_Hair,Eyeglasses,-0.0746651291847229
High_Cheekbones,Pointy_Nose,0.07461819052696228
Goatee,Mouth_Slightly_Open,-0.07422477751970291
Attractive,Bangs,0.07417920231819153
Bangs,Double_Chin,-0.0740719810128212
Brown_Hair,No_Beard,0.07377179712057114
Narrow_Eyes,Smiling,0.07369622588157654
Bangs,Sideburns,-0.07351763546466827
No_Beard,Oval_Face,0.07347585260868073
Sideburns,Wavy_Hair,-0.07344137132167816
Big_Nose,Smiling,0.07339400053024292
Arched_Eyebrows,Bald,-0.07291874289512634
Big_Nose,Black_Hair,0.07275013625621796
Goatee,Wearing_Necklace,-0.07215025275945663
Brown_Hair,Heavy_Makeup,0.07214279472827911
Bangs,Brown_Hair,0.07205596566200256
Bald,Brown_Hair,-0.0716647133231163
Pointy_Nose,Wearing_Necklace,0.07156894356012344
Pale_Skin,Smiling,-0.07118555158376694
Sideburns,Wearing_Necklace,-0.07106374204158783
Bushy_Eyebrows,Eyeglasses,-0.07096648961305618
Bald,Straight_Hair,-0.07033298164606094
Bags_Under_Eyes,Bangs,-0.0700572207570076
Big_Nose,Wearing_Hat,0.06954676657915115
Chubby,Wearing_Hat,0.06922478973865509
Bald,Mustache,0.06913698464632034
Big_Nose,Rosy_Cheeks,-0.06843774765729904
No_Beard,Wearing_Necktie,-0.06839794665575027
Double_Chin,Wearing_Earrings,-0.06811579316854477
Blurry,Smiling,-0.0680428221821785
Bangs,Gray_Hair,-0.0679054781794548
Blond_Hair,Gray_Hair,-0.06771311163902283
Eyeglasses,Oval_Face,-0.06764011085033417
Male,Straight_Hair,0.06754288822412491
Bangs,Mustache,-0.06715311110019684
Gray_Hair,Oval_Face,-0.06706640869379044
Heavy_Makeup,Straight_Hair,-0.06692012399435043
Pointy_Nose,Wearing_Necktie,-0.06690011918544769
Eyeglasses,Rosy_Cheeks,-0.06676216423511505
Big_Lips,Black_Hair,0.06640158593654633
Mouth_Slightly_Open,Pale_Skin,-0.06635601073503494
Gray_Hair,Wearing_Earrings,-0.06629423052072525
Brown_Hair,Bushy_Eyebrows,-0.0661616250872612
Big_Lips,Pointy_Nose,0.0661461278796196
Blurry,Wearing_Earrings,-0.0661228746175766
Bald,Blond_Hair,-0.06579868495464325
Gray_Hair,Pointy_Nose,-0.06539461016654968
Bags_Under_Eyes,High_Cheekbones,0.0652744472026825
Bangs,Wavy_Hair,0.0651923269033432
Blurry,Bushy_Eyebrows,-0.0648459941148758
Brown_Hair,Goatee,-0.06460245698690414
Brown_Hair,Mustache,-0.06440641731023788
Blond_Hair,Pale_Skin,0.06437447667121887
Blond_Hair,Oval_Face,0.06411200761795044
Mustache,Pointy_Nose,-0.06402582675218582
Rosy_Cheeks,Wearing_Necktie,-0.06377057731151581
Double_Chin,High_Cheekbones,0.06375813484191895
Pale_Skin,Wearing_Lipstick,0.0635707750916481
5_o_Clock_Shadow,Wearing_Necktie,0.0634014680981636
Black_Hair,Wearing_Lipstick,-0.06326859444379807
Double_Chin,No_Beard,-0.06233623996376991
Bald,Wearing_Earrings,-0.06213398650288582
Big_Lips,Big_Nose,0.06198824197053909
Bangs,Eyeglasses,-0.06186170130968094
Big_Nose,Narrow_Eyes,0.06175064295530319
5_o_Clock_Shadow,Attractive,-0.0616450272500515
Chubby,Wearing_Necklace,-0.06117859482765198
Blurry,Pointy_Nose,-0.061086636036634445
Receding_Hairline,Wearing_Hat,-0.060720302164554596
Receding_Hairline,Straight_Hair,-0.06063220649957657
Goatee,Rosy_Cheeks,-0.060535978525877
Oval_Face,Wearing_Necktie,-0.06049652770161629
No_Beard,Pale_Skin,0.060341980308294296
Double_Chin,Mouth_Slightly_Open,0.060076482594013214
Bald,Bangs,-0.06001365929841995
Bangs,Wearing_Earrings,0.05989910662174225
Attractive,Narrow_Eyes,-0.05972564220428467
Arched_Eyebrows,Straight_Hair,-0.05935616046190262
Blurry,Narrow_Eyes,0.058637287467718124
Straight_Hair,Wearing_Lipstick,-0.058591049164533615
Oval_Face,Sideburns,-0.05818573012948036
Wearing_Earrings,Wearing_Hat,-0.05770939216017723
Bags_Under_Eyes,Wearing_Necklace,-0.05752881243824959
Bangs,Smiling,0.0571981742978096
Mustache,Oval_Face,-0.05700196698307991
5_o_Clock_Shadow,Big_Lips,-0.05668467655777931
Blurry,Young,-0.056671254336833954
Big_Lips,Mouth_Slightly_Open,0.056641705334186554
Eyeglasses,Smiling,-0.05640647932887077
Mustache,Wearing_Necklace,-0.0563349686563015
Pointy_Nose,Smiling,0.05632112920284271
Rosy_Cheeks,Sideburns,-0.05625147745013237
Pointy_Nose,Receding_Hairline,-0.056105516850948334
Bangs,Rosy_Cheeks,0.0560794435441494
Bald,Pointy_Nose,-0.05529790744185448
Big_Nose,Pale_Skin,-0.05524223670363426
High_Cheekbones,Narrow_Eyes,0.055202797055244446
Mustache,Receding_Hairline,0.0551033541560173
Bangs,High_Cheekbones,0.05459659546613693
Straight_Hair,Young,0.05440007522702217
Black_Hair,Goatee,0.054061856120824814
Rosy_Cheeks,Wearing_Hat,-0.05387811362743378
Big_Lips,High_Cheekbones,0.053773969411849976
Black_Hair,Mustache,0.05324561521410942
Blurry,Rosy_Cheeks,-0.05288144201040268
Mouth_Slightly_Open,Wavy_Hair,0.05277258902788162
Oval_Face,Wearing_Hat,-0.052632465958595276
Big_Nose,Wearing_Necklace,-0.05260862410068512
Big_Lips,Eyeglasses,-0.05226045846939087
Oval_Face,Wearing_Necklace,-0.05191654711961746
Narrow_Eyes,Pointy_Nose,-0.05173572525382042
Goatee,Straight_Hair,-0.05163520202040672
Bald,Sideburns,0.05156444385647774
5_o_Clock_Shadow,Gray_Hair,-0.050945818424224854
Bushy_Eyebrows,Gray_Hair,-0.05092313140630722
Double_Chin,Wearing_Necklace,-0.050695355981588364
Bushy_Eyebrows,High_Cheekbones,-0.05059966444969177
Double_Chin,Narrow_Eyes,0.0497935488820076
Bags_Under_Eyes,Mouth_Slightly_Open,0.049638982862234116
Big_Nose,Blurry,-0.049254242330789566
Pointy_Nose,Sideburns,-0.04924999549984932
Wearing_Hat,Young,-0.0491216666996479
Chubby,Rosy_Cheeks,-0.048978760838508606
Mustache,Rosy_Cheeks,-0.04874243214726448
Bushy_Eyebrows,Wearing_Necktie,0.04867997020483017
Double_Chin,Oval_Face,-0.04826294258236885
5_o_Clock_Shadow,Straight_Hair,0.04821353033185005
Goatee,Receding_Hairline,0.048043638467788696
Gray_Hair,Wearing_Necklace,-0.04771432280540466
Black_Hair,Wearing_Necklace,-0.047682806849479675
Bald,Wearing_Necklace,-0.047510746866464615
Rosy_Cheeks,Young,0.04732832685112953
Receding_Hairline,Wearing_Necklace,-0.04720671847462654
Eyeglasses,Wearing_Necklace,-0.04711337760090828
